,Unnamed: 0,Star_Name,Distance,Mass,radius,Unnamed: 5,Star_name,Distance.1,Mass.1
0,0.0,SDSS J000013.54+255418.6 [de],46.1,0.99,2004,,,,
1,1.0,2MASS J08283419-1309198,,,,,,,
2,2.0,2MASS J00040288-6410358,192,1.63,,"['2', '2MASS J00040288-6410358', '192', '1.63', '', [...]]",,,
3,3.0,LHS 102BC,,,2002,"['3', 'LHS 102BC', '', '', '2002', [...]]",,,
4,4.0,2MASS J00242463-0158201,37.7,1.09,,,,,
5,5.0,2MASS J00250365+4759191AB,143,,,,,,
6,6.0,2MASS J00274197+0503417,236,1.44,,,,,
7,7.0,2MASS J00275592+2219328,46.9,,,,,,
8,8.0,2MASSW J0030300-145033,87.2,0.98,,,,,
9,9.0,2MASS J00332386-1521309 [de],131,1.43,,,,,
10,10.0,2MASS J00345157+0523050,31,0.94,,,,,
11,11.0,2MASS 0036+1821,28.6,0.94,2000,,,,
12,12.0,2MASSW J0045214+163445,57,1.62,,,,,
13,13.0,WISEP J004701.06+680352.1 [fr],40,1.3,,,,,
14,14.0,2MASS J00501994-3322402 [de],34,0.94,,,,,
15,15.0,2MASS J00034227-2822410,,,,,,,
16,16.0,2MASS J00584253-0651239 [de],96,1.43,,,,,
17,17.0,CFBDS J005910.90–011401.3,30,,2013,,,,
18,18.0,2MASSI J0103320+193536,70,0.98,,,,,
19,19.0,SDSSp J010752.33+004156.1 [de],51,0.98,,,,,
20,20.0,2MASSI J0117474-340325 [de],163,1.62,,,,,
21,21.0,2MASS J01415823-4633574 [de],130,1.61,,,,,
22,22.0,SDSS J015141.69+124429.6,70,0.97,,,,,
23,23.0,DENIS-P J020529.0−115925A,65,,1997,,,,
24,24.0,DENIS-P J020529.0−115925B,65,,1997,,,,
25,25.0,DENIS-P J020529.0−115925C,65,,1997,,,,
26,26.0,SDSS J020742.48+000056.2 [de],111,0.97,,,,,
27,27.0,2MASS J02103857-3015313,101,1.53,,,,,
28,28.0,2MASS J02340093-6442068,155,1.62,,,,,
29,29.0,2MASS J02411151-0326587 [de],152,1.41,,,,,
30,30.0,2MASS J02431371−2453298,35,0.99,2002,,,,
31,31.0,LP 771-21,53,1.08,,,,,
32,32.0,2MASS J02511327+0047364,,,,,,,
33,33.0,Teegarden's star,12.578,1.27,2003,,,,
34,34.0,2MASS J02535980+3206373,184,1.9,,,,,
35,35.0,WISE J0254+0223,24,1.9,,,,,
36,36.0,DEN 0255-4700,16.2,0.97,2006,,,,
37,37.0,2MASS J03185403-3421292 [de],45,0.97,2008,,,,
38,38.0,2MASS J03205965+1854233,47,1.15,,,,,
